film_key,title,year,trait_id,candidate_value,candidate_confidence,source,rationale,decision,reviewed_value,reviewed_confidence,review_note
title:the-wicker-man:1973,The Wicker Man,1973,isolation,0.86,0.91,human_authored,The protagonist is socially and geographically isolated.,approve,,,
title:the-wicker-man:1973,The Wicker Man,1973,sustained_uncertainty,0.88,0.90,human_authored,The island community's purpose remains concealed.,approve,,,
title:the-wicker-man:1973,The Wicker Man,1973,bleak_ending,0.98,0.99,human_authored,The conclusion offers no rescue or meaningful relief.,approve,,,
title:the-fly:1986,The Fly,1986,body_horror,0.99,0.99,human_authored,Progressive bodily transformation is the central horror mechanism.,approve,,,
title:the-fly:1986,The Fly,1986,practical_effects,0.98,0.99,human_authored,Makeup and physical transformation effects are foundational.,approve,,,
title:the-fly:1986,The Fly,1986,relationship_breakdown,0.93,0.94,human_authored,The transformation destroys an intimate relationship.,approve,,,
title:the-fly:1986,The Fly,1986,grief,0.85,0.86,human_authored,Loss and anticipatory mourning shape the emotional arc.,approve,,,
title:the-fly:1986,The Fly,1986,emotional_devastation,0.88,0.80,model_candidate,Candidate Daniel-response trait requiring explicit confirmation.,approve,,,
title:the-ring:2002,The Ring,2002,creeping_dread,0.94,0.94,human_authored,The film builds fear through a persistent approaching deadline.,approve,,,
title:the-ring:2002,The Ring,2002,occult_dread,0.88,0.90,human_authored,A supernatural curse structures the threat.,approve,,,
title:the-ring:2002,The Ring,2002,sound_driven_tension,0.86,0.88,human_authored,Audio and silence repeatedly intensify unease.,approve,,,
title:the-ring:2002,The Ring,2002,sustained_uncertainty,0.90,0.91,human_authored,The curse's history and mechanics unfold gradually.,approve,,,
title:the-ring:2002,The Ring,2002,bleak_ending,0.85,0.88,human_authored,The apparent resolution becomes morally and emotionally compromised.,approve,,,
title:let-the-right-one-in:2008,Let the Right One In,2008,loneliness,0.96,0.96,human_authored,Social and emotional isolation shape both central characters.,approve,,,
title:let-the-right-one-in:2008,Let the Right One In,2008,connection,0.94,0.94,human_authored,An unlikely bond is the emotional center of the story.,approve,,,
title:let-the-right-one-in:2008,Let the Right One In,2008,melancholy,0.93,0.93,human_authored,The film maintains a sustained wistful sadness.,approve,,,
title:let-the-right-one-in:2008,Let the Right One In,2008,slow_burn,0.88,0.90,human_authored,The story develops patiently through mood and relationship.,approve,,,
title:let-the-right-one-in:2008,Let the Right One In,2008,ambiguous_ending,0.72,0.75,human_authored,The emotional future and power dynamics remain open to interpretation.,approve,,,
title:the-host:2006,The Host,2006,creature_feature,0.99,0.99,human_authored,A central nonhuman creature drives the threat and plot.,approve,,,
title:the-host:2006,The Host,2006,family,0.97,0.97,human_authored,Family dysfunction and solidarity are central to the story.,approve,,,
title:the-host:2006,The Host,2006,relentless_pacing,0.81,0.84,human_authored,Major sequences maintain strong forward pressure.,approve,,,
title:the-host:2006,The Host,2006,sacrifice,0.88,0.90,human_authored,Characters repeatedly risk themselves for family.,approve,,,
title:the-host:2006,The Host,2006,grief,0.86,0.88,human_authored,Loss and mourning remain active throughout the film.,approve,,,
title:undertone:2025,Undertone,2025,creeping_dread,0.98,0.99,daniel_reaction,Daniel explicitly described a creeping Blair Witch-like dread.,approve,,,
title:undertone:2025,Undertone,2025,genuine_fear_response,0.95,0.99,daniel_reaction,Daniel explicitly reported that the film genuinely scared him.,approve,,,
title:undertone:2025,Undertone,2025,sustained_uncertainty,0.92,0.94,daniel_reaction,Daniel emphasized unease and uncertainty as major strengths.,approve,,,
title:undertone:2025,Undertone,2025,found_footage_realism,0.84,0.82,daniel_reaction,Daniel compared its fear effect to The Blair Witch Project's realism.,approve,,,
title:undertone:2025,Undertone,2025,sound_driven_tension,0.78,0.66,model_candidate,Candidate craft interpretation requiring review against the film profile.,approve,,,
